,Model,Embedding,MAE,RMSE
0,Baseline (mean),None,0.18836014957264957,0.23505114038593627
3,Neural Regression,code2vec,0.15387088164567386,0.19737568452640908
12,Lasso Regression,fullCanonicalizationdeepwalk,0.14346772234692934,0.18732455389468347
15,Neural Regression,fullCanonicalizationnode2vec,0.1434495310816205,0.1861553212986739
25,Linear Regression,noneCanonicalizationdeepwalk,0.15000517963586482,0.19399375800704574
32,Lasso Regression,noneCanonicalizationnode2vec,0.14996623274167803,0.19502909852609732
35,Neural Regression,origCanonicalizationdeepwalk,0.14746029193048885,0.18962666567841405
40,Lasso Regression,origCanonicalizationnode2vec,0.1468999708275672,0.18966012202997992
19,Neural Regression,partCanonicalizationdeepwalk,0.14253140582338325,0.18424751673348927
22,Ridge Regression,partCanonicalizationnode2vec,0.1426089710414758,0.1865810805794459
8,Lasso Regression,tf_idf,0.17735185946042406,0.2142901623648827
