,Model,Embedding,MAE,RMSE
0,Baseline (mean),None,0.1853906137410976,0.2291339916557978
1,Linear Regression,code2vec,0.1630582855674892,0.20920071835311377
2,Ridge Regression,code2vec,0.16305828330875943,0.2092007159031476
3,Neural Regression,code2vec,0.1550464760224805,0.19265542576424688
4,Lasso Regression,code2vec,0.15911350668474236,0.20528475226223883
5,Linear Regression,deepwalk,0.14847738348164702,0.19454568213326354
6,Ridge Regression,deepwalk,0.14847739239381497,0.1945456716976415
7,Neural Regression,deepwalk,0.1585469814008862,0.19766604296377335
8,Lasso Regression,deepwalk,0.1484784549368368,0.1944675219653389
9,Linear Regression,node2vec,0.14880956816481472,0.19330440071575122
10,Ridge Regression,node2vec,0.14880958324977048,0.19330439778683978
11,Neural Regression,node2vec,0.15977850183007436,0.19646289529393712
12,Lasso Regression,node2vec,0.14889554037486089,0.19325195195712108
13,Linear Regression,tf_idf,0.18094494192351773,0.22182667496269515
14,Ridge Regression,tf_idf,0.18094494192351768,0.22182667496269515
15,Neural Regression,tf_idf,305.568464315206,722.3105675621739
16,Lasso Regression,tf_idf,0.1809449330425908,0.22182666060979045
